YEAR,MONTH,BARANGAY_ID,Predicted_Cases,Predicted_Risk
2025,11,53,8.13,Medium
2025,12,53,8.88,High
2026,1,53,9.0,High
2026,2,53,8.11,High
2026,3,53,7.5,High
2026,4,53,6.98,Medium
2026,5,53,8.47,Medium
2025,1,54,0.7,Low
2025,2,54,2.22,Low
2025,3,54,3.83,Low
2025,4,54,4.0,Medium
2025,5,54,4.0,Medium
2025,6,54,3.83,Medium
2025,7,54,3.95,Low
2025,8,54,4.0,Low
2025,9,54,4.0,Medium
2025,10,54,3.58,Medium
2025,11,54,3.35,Low
2025,12,54,3.35,Low
2026,1,54,3.42,Low
2026,2,54,3.36,Low
2026,3,54,3.31,Low
2026,4,54,3.39,Low
2026,5,54,3.61,Low
2025,1,55,0.0,Low
2025,2,55,0.97,Low
2025,3,55,10.0,Low
2025,4,55,10.0,High
2025,5,55,9.54,High
2025,6,55,10.0,High
2025,7,55,10.0,High
2025,8,55,10.0,High
2025,9,55,4.78,Low
2025,10,55,4.58,Low
2025,11,55,5.93,Medium
2025,12,55,6.97,Medium
2026,1,55,7.74,Medium
2026,2,55,8.51,Medium
2026,3,55,9.91,High
2026,4,55,10.0,High
2026,5,55,10.0,High
2025,1,56,2.27,Low
2025,2,56,2.18,Low
2025,3,56,2.27,Low
2025,4,56,2.7,Low
2025,5,56,2.74,Low
2025,6,56,2.85,Low
2025,7,56,3.34,Low
